Treatment	LPS.status	Mean.RA	StDev
Control	Yes	0.0505219411	0.06319713891
NoTx	Yes	0.7950911755	0.2069815793
Recovery	Yes	0.3733069709	0.2298831348
Experimental	Yes	0.4959041476	0.3607155585
Control	No	0.9112257897	0.08753891538
NoTx	No	0.1634497316	0.1953309365
Recovery	No	0.5178715079	0.1382860471
Experimental	No	0.3709729149	0.3681661683
Control	Unknown	0.03825226921	0.05081823217
NoTx	Unknown	0.04145909298	0.03244555902
Recovery	Unknown	0.1088215211	0.1520488222
Experimental	Unknown	0.1331229375	0.2539183208
